pandaid,creationtime,jobstatus,jobname,cpuconsumptiontime,computingsite,destinationdblock,destinationse,sourcesite,transfertype,corecount,ninputdatafiles,inputfilebytes,noutputdatafiles,outputfilebytes,piloterrorcode,exeerrorcode,ddmerrorcode,jobdispatchererrorcode,taskbuffererrorcode
6089452826,1/27/2024 12:27,finished,user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production/.6072273176,30264,DE-TARDIS,panda.um.user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production.log.526770304.526770304,,,,1,1,1901052300,1,123200666,0,0,0,0,0
6089452801,1/27/2024 12:27,finished,user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production/.6072273151,25498,DE-TARDIS,panda.um.user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production.log.526770304.526770304,,,,1,1,1919466980,1,127223487,0,0,0,0,0
6089452813,1/27/2024 12:27,finished,user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production/.6072273163,25928,DE-TARDIS,panda.um.user.seggebre.700322.Sh.DAOD_HIGG8D1.e8351_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production.log.526770304.526770304,,,,1,1,1899994241,1,121662013,0,0,0,0,0
6090803274,1/29/2024 8:49,finished,user.seggebre.700398.Sh_2211_mumugamma.DAOD_HIGG8D1.e8338_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production/.6071675982,206,BNL,user.seggebre.700398.Sh_2211_mumugamma.DAOD_HIGG8D1.e8338_s3126_r9364_p4590.SYST_mc16a_GN1_v09_production.log.526895655.526895655,,,,1,60,4405184630,1,4183017803,0,0,0,0,0
6072686883,1/9/2024 4:21,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072686883,163270,BNL,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523799513.523799513,,,direct,1,2,7684384701,1,4831,0,0,0,0,102
6072660986,1/9/2024 3:42,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072660986,87222,BNL,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523797615.523797615,,,direct,1,1,3613945615,1,4831,0,0,0,0,102
6072674305,1/9/2024 4:05,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072674305,84210,BNL,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523798560.523798560,,,direct,1,1,5320806008,1,4831,0,0,0,0,102
6072677815,1/9/2024 4:10,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072677815,82250,BNL,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523798808.523798808,,,direct,1,2,6007811382,1,4831,0,0,0,0,102
6072692484,1/9/2024 4:27,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072692484,36225,Vega,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523799956.523799956,,,,1,2,7421248580,1,4831,0,0,0,0,102
6072692676,1/9/2024 4:27,closed,user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855/.6072692676,64151,Vega,panda.um.user.jdegens.EJ_2024_01_07.periodAllYear.physics_Main.grp16_v01_p5855.log.523799956.523799956,,,,1,5,3935982258,1,4831,0,0,0,0,102
6071360505,1/7/2024 13:24,finished,user.alopezso.21.2.238-35183166.07012024.mc16e.data.data/.6071360505,1597,Vega,panda.um.user.alopezso.21.2.238-35183166.07012024.mc16e.data.data.log.523689897.523689897,,,,1,1,1877832233,2,21597661,0,0,0,0,0
